Idx,Distance,MPF,RESP_Azi,RESP_Ele,POOA_1,POOA_2,POOA_3,RSSI_1,RSSI_2,RSSI_3,Gain_idx
22088,42.882745,0,-65.886299,28.016670,170.199896,-163.959471,23.379620,-35,-39,-50,6
22089,43.234439,0,-68.795845,32.045280,169.090243,-167.541124,3.537706,-35,-39,-50,6
22090,43.117182,0,-67.005356,28.016670,170.166936,-165.387738,23.511460,-35,-39,-50,6
22091,42.648559,0,77.521004,32.489407,171.880856,175.539415,3.658559,-35,-39,-50,6
22092,43.000170,0,76.849571,31.597656,170.529496,175.077975,6.668905,-35,-39,-50,6
22093,42.765561,0,76.849571,32.265594,171.199683,175.077975,3.966185,-35,-39,-50,6
22094,42.296779,0,79.087685,28.016670,168.431043,176.429334,22.055727,-35,-38,-50,6
22095,43.234305,0,76.849571,27.792858,169.298990,175.001068,23.214820,-35,-39,-50,6
22096,42.882791,0,75.954323,32.045280,169.771416,174.396802,4.471572,-35,-38,-50,6
22097,43.234531,0,78.416252,33.160839,173.353069,176.033815,2.680746,-35,-38,-50,6
22098,42.531395,0,78.416252,32.489407,172.452162,176.033815,4.471572,-35,-38,-50,6
22099,42.296886,0,75.730507,32.713215,171.551256,174.242988,3.131199,-35,-39,-50,6
22100,43.702955,0,78.192436,27.792858,168.870510,175.978881,22.698447,-35,-38,-50,6
22101,44.054854,0,-70.138718,27.792858,168.409070,-169.079257,22.324900,-35,-39,-50,6
22102,42.296870,0,75.730507,32.489407,171.573229,174.199042,3.581652,-35,-39,-51,6
22103,42.648426,0,78.416252,33.160839,173.792535,176.033815,2.647786,-35,-39,-50,6
22104,42.882745,0,75.730507,28.016670,169.298990,174.188055,22.830287,-35,-39,-50,6
22105,42.765636,0,77.073380,31.821466,170.155950,175.165868,5.757012,-35,-39,-50,6
22106,42.648544,0,79.521317,33.160839,174.100162,176.780908,2.680746,-35,-38,-50,6
22107,43.000051,0,82.654686,34.056087,176.923734,178.275094,1.790826,-35,-38,-50,6
22108,43.234365,0,79.745132,31.821466,171.056856,176.868801,5.811945,-35,-38,-50,6
